Arma blanca que cualquiera puede usar. AT+6
Pequeña y afilada katana con una hoja metálica. AT+20
Katana de acero curvada diseñada para el combate cuerpo a cuerpo. AT+55
Katana de hoja larga, forjada con la garra de un monstruo. AT+90
Extraña katana con punta de doble filo. AT+119
Katana con una fina y larga hoja de acero de Damasco. AT+149
Katana para cazar bestias, con una hoja más larga que una persona. AT+170
Afilada katana con caracteres en la hoja que confieren protección contra monstruos. AT+209
Katana con escudo de armas en forma de hoja de Hachi que confiere buena suerte. AT+215 STE+15
Katana legendaria que queda envuelta en una niebla al desenvainarla. AT+229  Elemento: Hielo
Antigua pero afilada espada cuya hoja puede matar demonios. AT+240  FZA+15
Arco común de madera tallada. AT+7
Pequeño arco construido a partir de un duro cuerno de marfil. AT+9
Arco pequeño y ligero. AT+15
Arco grande con un enorme colmillo de bestia ensartado. AT+24  FZA+2  TÉC+1
Honda untada con las vísceras de algunos monstruos. AT+30
Poderoso gran arco creado a partir del coxis de una bestia. AT+39
Pequeño arco de combate creado a partir del cuerno del rey de la jungla. AT+49  TÉC+4
Arco creado con un único material. AT+59
Arco de caza ligero y fácil de llevar. AT+75
Arco largo construido con la aleta de un pez enorme. AT+88  FZA+5  TÉC+4
Arco para expertos reforzado con parras y tendones de animales. AT+97
Arco legendario que puede disparar flechas a la velocidad de la luz. AT+111
Gran arco dotado de una cuerda tan flexible que lo hace muy potente. AT+123  FZA+8
Gran arco de combate utilizado por los arqueros de un ejército. AT+140
Arma de largo alcance que atraviesa fácilmente armaduras de metal. AT+161
Arco legendario que puede alcanzar cualquier objetivo. AT+181  FZA+7  TÉC+6
Arco demoniaco decorado con plumas que otorga al portador poder infinito. AT+202  AGI+15
El gran arco del dios Apolo, cuyas flechas agujerean a cualquier rival. AT+220  FZA+12  TÉC+8
Fina y pequeña arma con forma de cuerda que puede inmovilizar al enemigo. AT+7
Látigo con la pequeña garra de una bestia en la punta. AT+10
Látigo tejido con cuero y parras. AT+16
Látigo con duras espinas incrustadas para que inflija más daño. AT+28  FZA+1
Látigo con una enorme garra de monstruo en la punta. AT+38
Látigo con una garra de monstruo creado para despedazar enemigos. AT+49
Látigo con un aguijón mortal de color púrpura para torturar a los enemigos. AT+57  FZA+4
Látigo duro trenzado con elásticas gargantas de ranas. AT+70
Gran látigo con patas de cangrejo que se enrosca alrededor del objetivo. AT+79
Látigo con una afilada hoja en la punta que lo despedaza todo. AT+94  FZA+6  AGI+3
Gran fusta con un colmillo de tigre en la punta para atravesar corazones. AT+103
Fusta de metal que consiste en nueve piezas de metal conectadas entre sí. AT+115
Gato de nueve colas adornado con preciosos ornamentos. AT+125  FZA+8  AGI+6
Cintas de cuero y metal entrelazadas y empapadas en sangre de monstruo. AT+136
Siniestro látigo de color rojizo hecho con tripas sangrientas de cadáveres. AT+157
Látigo de tortura que, según dicen, abre las puertas del cielo a sus víctimas. AT+175  FZA+10
Gran látigo elegante ornamentado con decadentes adornos. AT+180  FZA+7  Moral ↑
Látigo creado con el bigote de Tiamat; lanza rayos cuando se agita. AT+200  FZA+11  Elemento: Rayo
Fusta realizada tejiendo una vid de Alraune con un cable de acero. AT+195  FZA+13  TÉC+9
Ropa tejida con lana de oveja. DEF+1
Chaleco tejido con piel de monstruos del bosque. DEF+3
Abrigo largo realizado a partir de flores y parras. DEF+1  AGI+1
Chaleco de cuero de bestia. DEF+2
Armadura reforzada con cuero de bestia curtido. DEF+4  PV+5
Coraza de pecho forjada a partir de un cuerno metálico. DEF+5  VIT+2  AGI-1
Chaquetilla tejida con piel curtida de conejo. DEF+3  VIT+1
Abrigo tejido con piel de conejo y parras. DEF+2  AGI+3
Chaqueta de piel blanca y mangas anchas y grandes. DEF+5  VIT+1  Resistencia al hielo ↑
Armadura realizada con anillos de metal entrelazados. DEF+7
Manto tejido con plantas. DEF+4  AGI+2
Túnica tejida con hojas duras y resistentes. DEF+6
Coraza de pecho forjada a partir de una concha de acero. DEF+12  PV+9
Armadura reforzada con anillos de metal por debajo de la primera capa. DEF+16  AGI-2
Chaleco tejido con la corteza de extraños árboles aromáticos. DEF+8  PT+8
Chaleco ligero adornado con plumas. DEF+6
Cota de mallas ligera que permite mayor movimiento. DEF+10  AGI+4
Coraza reforzada con tachones metálicos. DEF+17
Ropa elegante y con adornos. DEF+11  VIT+3
Manto hecho a medida a partir de cuero de bestias. DEF+16
Armadura de cuerpo entero con surcos para esquivar ataques con espada. DEF+22  PV+12
Armadura reforzada con láminas de chapa metálica. DEF+26
Chaleco corto con los colores del arco iris. DEF+18  PT+10
Manto ligero de color rojo que se suele llevar encima de la armadura. DEF+16
Chaleco grueso y caro tejido con la piel de un tigre blanco. DEF+27
Manto ingrávido tejido con alas de hadas. DEF+24
Túnica negra perfecta para moverse con sigilo en la oscuridad. DEF+26
Armadura metálica forrada con pequeñas láminas de acero. DEF+32
Armadura metálica forjada a partir de acero negro en capas. DEF+36
Ropa teñida con un compuesto negro especial que aumenta la defensa. DEF+28
Excelente armadura creada a partir de piel de dragón menor y acero. DEF+26  Resistencia elemental ↑
Chaqueta de cuero cubierta con chapas de metal. DEF+35  PV+18  PT+10
Gruesa chaqueta hecha con cuero de piel de demonios. DEF+37
Ropa teñida de rojo con inscripciones sagradas en el forro. DEF+24  AGI+4  PT+10
Túnica de piel carmesí adornada con inscripciones sagradas. DEF+36  PT+15
Cota de mallas teñida de rojo, forjada a partir de acero de un meteorito. DEF+42
Armadura reforzada con láminas de acero de meteorito. DEF+46  PV+14  AGI-4
Coraza realzada con un tinte azul especial. DEF+38  AGI+5
Manto tejido con piel dorada y empapado en sangre. DEF+36
Coraza resistente forjada con el esternón de un gran saurio. DEF+32  Resistencia física ↑
Armadura muy resistente forjada con láminas de concha maligna. DEF+52  FZA+10  PV+20
Coraza realizada a partir de plumas de demonio que aligera el movimiento. DEF+47  AGI+11  PV+15
Armadura legendaria que solo pueden llevar los que tengan corazón puro. DEF+56  PV+25  Resistencia física ↑
Túnica que envuelve al portador en un espejismo. DEF+47  AGI+18  TÉC+10
Elegante toga bordada con la forma del legendario Uróboros. DEF+34  TÉC+10  PT+20
Toga tejida para los ángeles. DEF+45  AGI+7  PT+22
Armadura de metal ingrávida que dicen que ha sido forjada por hadas. DEF+47  AGI+10  PT+16
Armadura forjada a partir de la legendaria crimsonita. DEF+42  FZA+8  PV+22
Manto cuya cadena ciega a los enemigos y mejora el efecto de las maldiciones.DEF+34  TÉC+12  STE+15
Manto muy caro tejido a partir de un trozo de Yggdrasil. DEF+35  Resistencia elemental ↑
Manto ignífugo de piel de dragón curtida. DEF+40  Resistencia al fuego ↑↑
Manto de piel del draco curtida, resistente al frío. DEF+40  Resistencia al hielo ↑↑
Manto resistente a descargas creado con piel de Tiamat. DEF+40  Resistencia a descargas ↑↑
Horquilla tallada en madera. DEF+1
Gorro fabricado con tiras de cuero a capas. DEF+1  PT+5
Gorro de amplias alas y decorado con bonitas plumas. DEF+2  PT+7
Casco hecho de hilos de acero tejidos. DEF+3
Casco fabricado con cuero elástico. DEF+3  PT+9
Casco fabricado con duras escamas de pez espada. DEF+4
Resistente gorra fabricada con capas de escamas de pez espada. DEF+6  PT+12
Horquilla fabricada con corteza de un extraño árbol de las profundidades. DEF+4  PT+14
Gorra de piel de tigre concebida para intimidar a los enemigos. DEF+7
Precioso adorno para la cabeza decorado con oro y cristales. DEF+5  PT+20
Casco forjado con un material duro y barnizado con sangre. DEF+8
Casco confeccionado con lujosas alas de mariposa. DEF+10  PT+30
Guantes para guerreros novatos que no están acostumbrados a usar armas. DEF+1
Guantes gruesos fabricados con capas de cuero de bestias. DEF+1  FZA+1
Elegantes guantes decorados con grandes plumas. DEF+2
Guantes de piel de tigre cubiertos con acero. DEF+3
Gruesos guantes fabricados con piel de oso. DEF+3  FZA+2  TÉC+1
Guantes fabricados con cuero curtido elástico y aletas de pez. DEF+3  TÉC+2
Rústico guante con colmillos carmesí que salen de los nudillos. DEF+4  FZA+2
Guantes tejidos con una tela de lo más profundo del bosque. DEF+4  TÉC+3
Guantes de piel de tigre que proporcionan una magnífica defensa. DEF+6
Guantes con cristales incrustados e inscripciones sagradas. DEF+5  TÉC+5
Guantes de acero de meteorito templado y teñidos de rojo. DEF+8  FZA+3
Guantes de gran calidad fabricados con una concha maligna. DEF+11  FZA+12
Guantes oscuros que ayudan al portador a camuflarse en las sombras. DEF+9  AGI+11
Guante que aumenta la eficacia de las técnicas y elimina el margen de error. DEF+7  TÉC+10
Guantes rojos fabricados con legendaria crimsonita. DEF+10  AGI+9  TÉC+7
Guantes fabricados con la piel curtida de la mano de un demonio. DEF+2  Resistir enfermedades ↑↑
Pequeño escudo que protege hombros y articulaciones. DEF+1
Pequeño escudo reforzado con cuero de bestias. DEF+2
Escudo redondo fabricado con un duro caparazón. DEF+2  VIT+1
Escudo oval de acero. DEF+5
Gran escudo de acero que protege desde las rodillas hasta el torso. DEF+10  Resistencia al fuego ↑
Pequeño escudo redondo cubierto de cuero elástico. DEF+7  Resistencia a rayos ↑
Enorme y grueso escudo que cubre el cuerpo entero. DEF+14  VIT+3  Resistencia al hielo ↑
Escudo oval de color oscuro fabricado con capas de piedras y acero. DEF+10
Bonito escudo redondo fabricado con plata. DEF+20  VIT+4
Gran escudo oval de brillos dorados. DEF+14  VIT+5
Escudo blanco y brillante que dicen que proporciona defensa celestial. DEF+28  Resistencia a muerte súbita ↑
Escudo legendario que solo pueden portar los que tienen corazón puro. DEF+32  Resistencia a atadura ↑
Gran escudo resistente, cubierto de pinchos. Sirve para atacar y defender. DEF+60  Resistencia general ↓↓
Ligeras botas hechas con hojas del bosque. DEF+1  AGI+1
Botas resistentes fabricadas con capas de cuero. DEF+1  AGI+2
Botas resistentes decoradas con plu- mas, ideales para explorar el bosque. DEF+2  AGI+3
Botas de metal con anillos de acero. DEF+3  AGI+4
Zapatos sin cordones ni tacones. DEF+3  AGI+5
Botas de escamas de un pez del bosque. DEF+4  AGI+6
Misteriosas botas que otorgan la ligereza de un hada. DEF+4  AGI+7
Botas cubiertas con una gruesa piel de tigre. DEF+6  AGI+9
Magníficas botas decoradas con legendarias colas de fuego. DEF+6  AGI+11
Botas decoradas con piel dorada que parece brillar. DEF+7  AGI+14
Mallas resistentes teñidas de rojo oscuro. DEF+8  AGI+15
Botas que incrementan la velocidad del portador. DEF+12  AGI+20  STE+15
Cinturón fabricado con cuero de bestia. DEF+1  PV+5
Anillo tejido con tiras de cuero. DEF+1  Resistencia a tajos ↑
Amuleto fabricado con bayas rojas secas del bosque. DEF+1  PT+5
Collar hecho con pequeñas flores que crecen en el bosque. DEF+1  TÉC+1
Amuleto de un guerrero, hecho con una pequeña guadaña. DEF+2  PV+9
Anillo con una piedra brillante incrustada encontrada en el bosque. DEF+1  Resistencia a rayos ↑
Capa hecha de hojas. DEF+2  PV+10
Anillo resistente al fuego y con un engaste de carminita. DEF+1  Resistencia al fuego ↑
Sencillo collar fabricado con semillas astrales. DEF+1  PT+10
Amuleto fabricado con colmillos grandes de monstruos del bosque. DEF+1  VIT+3
Collar con poderes misteriosos hecho con fósiles. DEF+1  STE+8
Gruesa capa hecha con piel dura de cocodrilo. DEF+2  PV+15
Amuleto legendario que, según dicen, protege el cuerpo del portador. DEF+1  Resistencia a enfermedades ↑
Amuleto sagrado hecho con diversas conchas del bosque. DEF+1  PT+20
Anillo cerúleo que proporciona resistencia al hielo. DEF+1  Resistencia al hielo ↑
Capa roja que parece que está teñida con sangre. DEF+2  PV+19
Extraño amuleto que, según dicen, expulsa desgracias mediante la magia. DEF+1  PT+25
Collar aromático decorado con preciosas flores. DEF+1  VIT+4  AGI+7
Anillo de lujo que solamente se puede permitir la realeza. DEF+1  Resistencia a ataduras ↑
Capa tejida con exquisitos hilos dorados. DEF+3  PV+25
Anillo legendario que otorga la protección divina de los serafines. DEF+2  PT+35
Anillo que aleja lo maligno. DEF+2  TÉC+8
Valiosa joya que repele el mal. DEF+2  Resistencia a muerte súbita ↑
Joya carmesí obtenida de un cristal rojo. DEF+4  Resistencia al fuego ↑
Berilo obtenido de un cristal azul. DEF+4  Resistencia al hielo ↑
Joya de color ámbar obtenida de un cristal amarillo. DEF+4  Resistencia a rayos ↑
Joya multicolor obtenida de una piedra tricolor. DEF+6  Resistencia elemental ↑
Joya deslumbrante obtenida de un diamante Culinan. DEF+6  Resistencia física ↑
Espeluznante muñeca fabricada con raíces de Yggdrasil. DEF+7  PT+50
Instrumento de viento con agujeros fabricado a partir de un cuerno. PT+10
Instrumento de cuerda que emite un sonido vibrante. PT+15
Instrumento de viento que se toca soplando por la boquilla. PT+20
Instrumento de cuerda que se toca en situaciones ceremoniosas. PT+30
Instrumento de viento que puede ser de lengüeta simple o doble. PT+40
Pequeño instrumento de cuerda que emite un sonido tranquilizante. PT+50
Instrumento de viento metálico que se oye a largas distancias. PT+70
Prueba de que has recorrido el laberinto de Yggdrasil. PV+100  PT+50
Prueba de que has explorado todas las plantas del laberinto. PV+100  PT+50  Atributos+15
Anillo fabricado con una hoja entretejida de Yggdrasil. PV+80  FZA+10  VIT+10
Cinta fabricada con una hoja de Yggdrasil. PV+70  AGI+15  TÉC+15
Pequeño y afilado colmillo de un animal.
Suave cuero creado con la piel de bestias.
Esternón relativamente duro de un topo.
Caparazón brillante de escarabajo.
Preciosa ala que irradia un destello misterioso.
Flor blanca y aromática que crece en las plantas superiores.
Ojo de mariposa que no tiene valor si está dañado.
Suave y esponjosa piel de conejo.
Cuerno elástico que se puede tratar con facilidad.
Parte del cuerpo de una mandrágora.
Resistente raíz de mandrágora.
Cenizas de mandrágora.
Cuero elástico usado para las juntas de las armaduras.
Espina roja del caparazón de un escarabajo.
Cuerno de toro con vestigios de acero.
Piel dura y rígida de lobo.
Néctar solidificado que se usa para crear medicinas.
Pequeña fruta roja que aporta energía.
Hoja verde y amarga que aumenta la concentración.
Fruta de color rojo intenso no comestible.
Piedra de marfil que se usa como material de construcción.
Fragmento de una piedra brillante y transparente.
Fragmento de un gólem, duro como un diamante.
Colmillo enorme de una bestia, perfecto para tallar.
Colmillo de Fenrir; se usa para forjar armas.
Piel de Fenrir que se encuentra bajo el pelaje.
Pinza de mantis, fina y muy afilada.
Tejido adhesivo de una masa gelatinosa.
Pieza extraña de acero puro obtenida de masas gelatinosas.
Cola en forma de aguijón con glándulas venenosas.
Seda de araña que se endurece cuando se seca.
Garra grande con una curvatura característica.
Parte más gruesa del tallo de una planta grande.
Hoja de colores que se usa como adorno o colorante.
Semilla de sabor amargo pero con propiedades curativas.
Corteza aromática de árbol que se usa para recuperar energía.
Parra compuesta por un puñado de fibras.
Pluma gigante de un ave de la jungla.
Coxis de pájaro que se usa para construir arcos.
Restos cristalizados de un pájaro de fuego.
Caparazón de acero de escorpión templado al fuego.
Hoja gruesa y redonda que se cuece para hacer gelatina.
Pequeña garra con forma de gancho.
Colmillo de acero de tigre que se usa para forjar afiladas espadas.
Lisa piel de tigre que se usa como capa intermedia en las armaduras.
Hierba muy rica que despeja la mente.
Chatarra con restos de acero.
Huesos sin valor destrozados e incrustados en una roca.
Piel gruesa y sólida de oso.
Pata de un pájaro antediluviano.
Concha fina y de gran calidad de escorpión.
Aguijón de escorpión de color púrpura debido al veneno.
Cuerno de Cernunos. Tiene propiedades magnéticas.
Ala del dragón menor, resistente a cualquier ataque.
Colmillo estriado arrancado del dragón menor.
Enorme colmillo de mamut con la base rota.
Puede crecer hasta 10 veces su tamaño original.
Se puede cocer para hacer medicina.
Cuero resistente que absorbe los golpes.
Ojo vidrioso de sapo.
Pequeño hueso que contiene acero.
Fragmento de un hueso que contiene acero.
Gigantesca concha de acero.
Nido de giguélula creado con ramas de roble.
Ala con tres huesos.
Fluido grasiento que da lugar a un colorante irisado.
Pequeña uña con la que se puede cortar carne.
Piel de oso de color rojo intenso.
Molar manchado de sangre.
Escama espinosa de pez.
Aleta lisa y suave de un pez espada.
Pata de cangrejo curvada con articulaciones de acero.
Grumo de miel almacenado en el abdomen de las hormigas.
Concha con 16 pinchos.
Su alto contenido en azúcar proporciona mucha energía.
Preciosa rama que se vende a precios muy caros.
Mineral que emite brillos rojos y azules cuando se pule.
Pinza de cangrejo manchada de sangre.
Garra con forma de cuchilla de la hormiga real.
Aleta de Cotrangl, compuesta por elásticas fibras.
Concha centenaria de una tortuga.
Piel dura cubierta de escamas con forma de cuña.
Piel de ratón que irradia calor.
Cola de ratón que irradia calor.
Piel de tigre de color blanco puro, muy suave al tacto.
Colmillo afilado pero flexible.
Cuerno de ciervo que previene que los metales se oxiden.
Órgano rojo que se solidifica cuando se enfría.
Ojo de mantis que se ha roto durante la batalla.
Ojo de mantis con trozos de acero.
Hoz de mantis suave y blanca con manchas rojas.
Tendón de Aquiles enorme.
Sus duras fibras entrelazadas son inmunes a cualquier corte.
Vid mutante con forma de Y que protege de la mala suerte.
Fragmentos de roca que usan los moradores del bosque.
Los seres del bosque la llevan en bolsas y la usan para escribir.
Tejido tricotado con hierba del desierto baldío.
Madera de los árboles del desierto baldío.
Ala del ser más pequeño de los moradores del bosque.
Sangre de hada recolectada por los moradores del bosque.
Pluma del ala de un pico bermellón.
Pico afilado de un ave depredadora.
Melocotón que se puede usar para crear medicinas.
Madera con forma de tentáculo que se mueve tras cortarla.
Vid con forma de látigo que usa Cruela.
Vid con forma de látigo que usa Diabólica.
Flor blanca que crece en el desierto baldío.
Garra de Iwaopeln. Contiene varios metales.
Usada por los moradores del bosque. Contiene varios metales.
Enorme gema que se obtiene a partir del piroxeno.
Hongos que crecen en los cadáveres de las hadas.
Se extrae de los árboles del desierto baldío.
Uña de un tipo de acero de meteorito desconocido.
Diente con forma de espada para despedazar enemigos.
Piel de un conejo malvado que devora seres humanos.
Garganta muy elástica de un sapo gigante.
Núcleo cristalino que puede aparecer en algunas gelatinas.
Seda de araña con protuberancias que tienen forma de gancho.
Piel de lobo del color del fuego.
Sangre de lobo que sirve como tinte.
Caparazón brillante de un insecto gigante.
Sangre de un insecto gigante, excelente como tinte.
Tallo oscuro que evoca una sensación de muerte.
Piel de una feroz bestia dorada.
Colmillo triangular que contiene oro.
Cuerno torcido de toro que contiene oro.
Concha de acero de meteorito desconocido.
Garra de acero de meteorito desconocido.
Ala transparente de una avispa reina.
Miel que cura cualquier enfermedad.
Esternón de un saurio metálico, más resistente que el acero.
Colmillo de mamut con siniestras inscripciones.
Piel de aligátor, suave pero resistente.
Frágil corteza que envuelve el cadáver de Yggdrasil.
Células de Yggdrasil que se han convertido en piroxeno rojo.
Flor revitalizante básica para el proyecto Yggdrasil.
Piroxeno multicolor con poderes místicos.
Brote de Yggdrasil con forma de cabeza humana.
Brote de Yggdrasil con forma de brazo humano.
Brote de Yggdrasil con forma de pierna humana.
Hilo fino envuelto en una piel elástica.
Vid de planta cristalizada.
Semilla brillante que se usa con fines médicos.
Frágil material gris que se usa en la construcción.
El núcleo de este fragmento se usa en la construcción.
Células de Yggdrasil que se han convertido en piroxeno verde.
Células de Yggdrasil que se han convertido en piroxeno azul.
Coraza de ogro empapada en dolor y pena.
Escama verde del brazo de un ogro.
Preciosa pluma del brazo
de un demonio alado.
Plumas que adornan la cabeza de un demonio alado.
Caparazón de una tortuga milenaria.
Caparazón intacto de una tortuga milenaria.
Polvo misterioso que dispersa la luz.
Se volvió negra al alimentarse de cadáveres abandonados.
Misteriosa pluma de una cola encerrada en cristal.
Médula que no se ve afectada por reacciones químicas.
Maravillosa pluma de las alas de Iwaopeln.
Preciosa ala de color rojo y azul.
Magnífica tela tejida con pétalos de Alraune.
Pata de cangrejo agujereada.
Cráneo que contiene crimsonita.
Hueso que contiene crimsonita.
Cadena brillante que engaña a los que la miran.
Extraña costilla de un saurio metálico con forma de espada.
Piel de dragón resistente al fuego.
Piel de dragón resistente al hielo.
Piel de dragón resistente a la electricidad.
Embrión de la célula de un dragón.
Escama afilada del gran dragón.
Colmillo del gran dragón que irradia un intenso calor.
Brazo intacto de un gólem.
Ojo de la mantícora que irradia un brillo multicolor.
Gélido hueso del draco.
La esencia del núcleo del Mal supremo.
Pluma preciosa de color ébano.
Espina helada de Cotrangl.
Bigote de Tiamat.
Parras que adornan a Alraune.
Guadaña que puede cortarlo todo.
Melena del rey de la jungla.
Destructora mandíbula de la hormiga real.
Escama afilada del draco.
Látigo púrpura y perfumado de Cruela.
Látigo rojo y de olor dulce de Diabólica.
Garra de una bestia negra que contiene un poderoso veneno.
Escama afilada de Tiamat.
Células de Yggdrasil que se han convertido en piroxeno amarillo.
Exoesqueleto de mariposas de lo más profundo del bosque.
Escamas que han quedado congeladas en la batalla.
Fruta con apariencia de cabeza humana.
Semilla de una flor con pétalos en forma de cruz.
Flor carnosa que contiene agua en sus pétalos.
Misteriosa planta que emite continuamente niebla.
Pequeña hoja de un brote de Yggdrasil.
Hoja de tamaño medio de un brote de Yggdrasil.
Hoja grande de un brote de Yggdrasil.
Medicina preparada cociendo hierbas. Restablece 30 PV.
Medicina hecha con extracto de flor. Restablece 100 PV.
Medicina obtenida machacando cáscaras de nuez. Otorga 200 PV.
Medicina hecha con roca de coral pulverizada. Restablece 350 PV.
Medicina de miel de Yggdrasil. Restablece el 100% de tus PV.
Tónico preparado con hierbas pulverizadas. Restablece 15 PT.
Tónico creado a partir de fresas bañadas en miel. Restaura 50 PT.
Poción hecha con miel aromática. Restablece 300 PV y 50 PT.
Poción de Yggdrasil. Restablece todos los PV y PT.
Poción de miel de hadas. Todos recuperan parte de sus PV.
Poción hecha con una rara flor. Restablece los PV del grupo.
Elixir de miel que resucita a alguien con pocos PV.
Elixir de melocotón que resucita con la mitad de los PV.
Elixir mágico de células de dragón. Revive con todos los PV.
Panacea creada con pétalos hervidos. Elimina las ataduras.
Panacea de semillas astrales que cura cualquier enfermedad.
Perfume herbáceo que restablece 10 puntos de moral.
Perfume de extracto de fresa que restablece 30 puntos de moral.
Perfume digno de una reina. Restablece 100 puntos de moral.
Caramelo de hojas de Minerva. Aumen- ta el ataque y disminuye la defensa.
Caramelo de miel de hormiga. Ataque aumenta mucho/Defensa disminuye.
Gelatina de hierbas hervidas. Aumenta un poco la defensa.
Gelatina de pasta de setas. Aumenta mucho la defensa.
Niebla que disipa el fuego. Reduce temporalmente el daño de fuego.
Niebla que disipa el hielo. Reduce temporalmente el daño de hielo.
Niebla que disipa los rayos. Reduce temporalmente el daño de rayos.
Niebla que disipa la magia elemental durante 5 turnos.
Aceite que proporciona a un arma el poder del fuego.
Aceite que proporciona a un arma el poder del hielo.
Aceite que proporciona a un arma el poder del rayo.
Su repique reduce la probabilidad de toparse con monstruos.
Su sonido ahuyenta bastante tiempo a los monstruos.
Imán que te lleva al último punto geomagnético que usaste.
Evento de mapa.
Se dice que esta agua cura cualquier enfermedad.
Agua potable normal y corriente.
Botella para el agua.
Caja llena de diversa chatarra.
Caja llena de chatarra.
Contiene un retrato de familia.
Semilla de la orquídea favorita de la duquesa Schezan.
Piedra dorada brillante.
Piedra dorada brillante.
Piedra con un reflejo brillante.
Queso de rica apariencia pero un olor muy acre.
Misterioso polvo que hace que las plantas se marchiten.
Moneda manchada.
Espada oxidada por el uso.
Hacha desgastada por el uso.
Varita rota muy antigua.
Se dice que esta medicina cura cualquier enfermedad.
Flor preciosa y muy difícil de encontrar.
Semilla de una flor muy especial.
Piedra que transmite sonidos a lugares lejanos.
Llave que rompe el sello de los cristales transparentes.
Llave que rompe el sello de los cristales violeta del laberinto.
Huevo del tamaño de un hombre.
Rectangular, con raros dibujos y rayas.
Restablece 150 PV.
Recibes una ligera descarga si tocas ambos extremos.
Misterioso espejo con un agujero en el centro.
Botella de cristal, pero suave al tacto.
Pieza dorada con antiguos dibujos grabados en ella.
Pieza de metal doblada. No se sabe para qué sirve ni cómo se usa.
Pluma del pájaro legendario, tan clara que parece transparente.
Pluma del pájaro legendario. Su color negro absorbe la luz.
Pluma del pájaro legendario que brilla con los colores del arco iris.
Diamante del tamaño de un puño que encontraste en el ala del ave.
Diamante negro encontrado con la pluma del pájaro. Brilla algunas veces.
Diamante multicolor encontrado con la pluma del pájaro.
Pergamino heredado de un samurái. Llévalo al gremio de guerreros para poder registrar samuráis.
Campana esencial en el entrenamiento de los brujos; llévala al gremio de guerreros para registrar brujos.
Pergamino que se usa para dibujar mapas del laberinto de Yggdrasil.
Carta del vestíbulo de Radha para que Shilleka te pueda vender sus objetos.
Cuerda mágica para teletransportar a tu grupo hasta el pueblo.
Flute-shaped fang taken from the Wyvern's intact head.
